,points,nu_error,c_error,s_error,type
231,60,-0.020826668244852686,0.6337624896587285,-0.587492529800365,info
232,65,-0.020923839036729674,0.6347510545156605,-0.5858405006860009,info
233,70,-0.021218406885572083,0.6345273708209648,-0.5857875380519949,info
234,75,-0.021255692323622344,0.6344165501205347,-0.5858114982291311,info
235,80,-0.01811217162647627,0.6337362533523677,-0.5907221534260966,info
236,85,-0.01941679243349559,0.6337170755082967,-0.5887349793239156,info
237,90,-0.018059174409346124,0.6337473216991797,-0.5907470391296903,info
238,95,-0.022219514998174317,0.633714762802683,-0.5874389834514473,info
239,100,-0.022079292782700266,0.6336816518708177,-0.5874968232623845,info
240,5,0.13380616437287485,0.7703399362899465,-0.6419985836031887,info
241,10,0.026826883095775966,0.6754901423658846,-0.5980369333058606,info
242,15,-0.012869853482290528,0.6366525080491273,-0.5963991136906,info
243,20,-0.014931292957630404,0.6342025775507265,-0.5930722154920176,info
244,25,-0.01983319762800695,0.6303159860505743,-0.5901067594330536,info
245,30,-0.014832207660415264,0.6348192858667973,-0.5887954754440187,info
246,35,-0.014720339071814581,0.6347599188498055,-0.5890383095297189,info
247,40,-0.014236062164692087,0.6343762292717492,-0.5916417864875032,info
248,45,-0.015906409134805788,0.6332786644874863,-0.5909474873290034,info
249,50,0.01367442150902487,0.6331077639091715,-0.641095169794988,info
250,55,-0.016570534108870216,0.6329074852999942,-0.5906870356461301,info
251,60,-0.016238081671400506,0.6335654924644908,-0.5904684778807703,info
252,65,-0.01589857799358585,0.6329777368562518,-0.5932992915076267,info
253,70,-0.01590133554170292,0.6329975615919858,-0.5932664640265408,info
254,75,-0.013768591807036046,0.6329662511065846,-0.6013920014828651,info
255,80,-0.013778676671069578,0.6329553170686034,-0.6013847649621833,info
256,85,-0.005945508359462837,0.6329481850098901,-0.6131317464099086,info
257,90,-0.009147355495877751,0.6329286872348059,-0.609313290050031,info
258,95,-0.007809802571007718,0.6329132040637845,-0.6102397719033062,info
259,5,0.1775134930720329,0.8066064662832452,-0.6273243330827923,info
260,10,0.08411266640697368,0.7262427546196218,-0.6081684211228144,info
261,15,-0.003934023565365208,0.6371267437135478,-0.6069249219482888,info
262,20,0.010163917146855717,0.6490865321503424,-0.6076763493444317,info
263,25,-0.009666305487497917,0.6249631316319737,-0.61288642920139,info
264,30,-0.011952196394467873,0.6298520317304822,-0.6052493789711568,info
265,35,-0.015054492469927627,0.6342859183163471,-0.5999843449182878,info
266,40,-0.005287264455026697,0.6313321635973147,-0.6251143302098946,info
267,45,0.019680222948754378,0.6315878603690198,-0.6540653931891667,info
268,50,0.01977811086015624,0.6317122332403979,-0.6540672998479442,info
269,55,0.019873913327573045,0.6317996211337237,-0.6540934592900658,info
270,60,0.020219807284151736,0.6322131700067267,-0.6540820084437904,info
271,65,0.0022613911652465957,0.6323848827395484,-0.6275157901788848,info
272,70,0.006561453830868591,0.6323799934127002,-0.6340378731283259,info
273,75,0.009100350133738222,0.6325302756447332,-0.6371148345269386,info
274,80,-0.0028641216448943574,0.6326385335606817,-0.6190964923657187,info
275,85,-0.0028215205232180463,0.6326657759000301,-0.6190925662886454,info
276,90,-0.0026316455911183922,0.632667917186148,-0.619130697854943,info
277,95,-0.008407715810113237,0.6326797203043741,-0.6111071747205025,info
278,100,-0.00841579419037397,0.6326735631445519,-0.6111118276690959,info
279,5,0.06876015757750464,0.6921588772926781,-0.6363566096566204,info
280,10,-0.05689715663055628,0.5689147043870906,-0.623051898987725,info
281,15,-0.020262410313408363,0.6253358312464434,-0.6028754119394062,info
282,20,-0.005964016091058677,0.6487326471820699,-0.5838779981658933,info
283,25,-0.02923540949230874,0.6254176764020892,-0.5858396535070716,info
284,30,-0.026971840458444807,0.6282162960322719,-0.5856099105703653,info
285,35,-0.017565457461225287,0.6281061778536164,-0.6088910377051064,info
286,40,-0.012726344567023262,0.6351943154917409,-0.6055570793143211,info
287,45,-0.01441543955982405,0.6359326961486437,-0.5982871849896896,info
288,50,-0.007968472273273575,0.6358066885266583,-0.6126571703548707,info
289,55,0.006207274919368344,0.6355621626394722,-0.6329622371598874,info
290,60,0.010573075667937637,0.6355222602641102,-0.6390396934491618,info
291,65,-0.01916301917954888,0.6343616341634372,-0.5940481354883165,info
292,70,0.009303236718190222,0.6342866836058269,-0.6389986500236198,info
293,75,0.018970027670750733,0.6339180152294888,-0.6524859278087551,info
294,80,0.0006283452122761712,0.6336132557642405,-0.6275413980623694,info
295,85,0.0010837931027631864,0.6331731277062322,-0.6288392835191305,info
296,90,0.0011527752442866968,0.6332383675101655,-0.6288462583306412,info
297,95,0.0011634167517676763,0.6332290887741352,-0.6288774974576097,info
298,100,0.0011852860882941574,0.6332460745811151,-0.6288828958846758,info
299,5,0.17678657377743867,0.7899927931542455,-0.6500398608886502,info
300,10,0.09298520299444057,0.7313169159578597,-0.6208581224700844,info
301,15,0.03956120076398317,0.6829046142795381,-0.6045164339776903,info
302,20,-0.015546961633954415,0.6342716403109167,-0.5951397392074572,info
303,25,-0.014644318735500761,0.635364043255157,-0.595124704871884,info
304,30,-0.01330461006634398,0.6368670201173309,-0.5960806125950027,info
